Username,Comment
@arslansattar351,Proper three and three throw fighter you go win it on win it for yourself by yourself for you
@arslansattar351,#three proper you go to a bater like this ruin the stemps
@arslansattar351,Gren pitches you completely go stemp a stemps variety with variety and a graph taple paper for player so he must with mind and drink break he go on till 50 with 5 spel apreciated
@arslansattar351,"Bounce and ful todes only alowed a clay pitches , by twist muscules at srilankans were bouncy tracks"
@arslansattar351,This is what a variation of 6 bowlers graph
@arslansattar351,"...
!
..."
@arslansattar351,"...
 !
..."
@arslansattar351,Use your left hander right hander both side with captain active field adjust a slobe with the scale
@arslansattar351,Go with the best
@arslansattar351,Exercise walk on and then no fields energy maters
@arslansattar351,Chasing 328 and 156 at 1 australia won the game
@arslansattar351,Restrict as you exercised for your practices . That s it
@arslansattar351,#rauf10-82 you should with junaid shah that he can minus out the things
@arslansattar351,Restrict the yorker plans australians
@arslansattar351,1-1 keep going 10-10 and at your practice you bounce
@arslansattar351,#Tough and exercised musles
@arslansattar351,And bated and reverse presed the pakistanies top ordered
@arslansattar351,At trination newzelands did the same yorked and cleaned the stemps
@arslansattar351,Left is become nothing
@arslansattar351,# jadega bat top of stemps practice yorkers and acurates til 1-50 last over with five and every ten over drinks breakd
@arslansattar351,n you breath bowl 🥣 r stemps and cleaned all over.
@arslansattar351,#moniter the breath levels as .umer gul change the strike with sense change the bowls with strenght
@arslansattar351,Must be sharp your s
@arslansattar351,Only 1 run wiket with over
@arslansattar351,All 11 must click till 11 a single handed with six and umpire in a play put on
@arslansattar351,Out stroke indian even not alowing a single run at 171 recence
@arslansattar351,Must be the stemps kiler of the day with mind clear that it a chalenge and is sumerized with sun dried tomato conditions
@arslansattar351,At a line on the top of the line stemp with your acurate york practice must know a change of pace with acurates
@arslansattar351,Not alow a lot of scores and you can # pak
@AttaRehman051,"Jadeja matched the vibe of this show really well, hats off."
@krishnashah5831,❤
@pankajchauhan3675,Jaddu sir moj avi gai...from bapu to paaji 🤙🤙🤙
@rajryder666,"Bumrah shami both are exceptional reverse swing bowlers. Without test cricket, ull never learn this art. Paks problem is that its bowlers dont take test cricket seriously."
@waqasahmed569,"Jadeja has a great mind ... Cricketing mind ..
Love you brother 
Love from Pakistan 🇵🇰"
@waqasahmed569,"Jadeja has a great mind ... Cricketing mind ..
Love you brother 
Love from Pakistan 🇵🇰"
@RAZAJAMAL-d7w,18:53 WASIM PAKISTAN KE KHILAF SOUTH AFRICA KE A TEAM THE WASIM SIR
@mazharsaleem6509,"https://youtu.be/gKQ3qSgWi6o?si=iBOnswNYkkVJKsaU
INDvPAK pre match"
@Rohit-zi4ej,"As far as that question to Waqar Younis is concerned, regarding his community - Theres no difference between Jat and Jutt, thats one same community. There are Hindu, muslim, sikh jats in Asia. In Hindi we prounounce the name as “Jaat” while in Punjabi we pronounce that as “Jatt”."
@atullokhande9736,This is  very good show ...
@MohammedBLUSHi,"Ajay Jadeja, U Beauty ❤"
@SyedTopu-gm3py,"Day 1 i picked pakistan ,they didnt win 
Day 2 our boys🇧🇩 , they lost the game 
Day 3 i supported afgans , they lost too
I guess ,,  Now its all about "" yakeen ki jeet ,like he said """""
@sahilkumar-ok9hk,Your channel is better then sports tak
@mahendranalande4399,afghan ki champi hui acche se ye jaruri tha jyada udd rahe the thoda
@nityanutansports,Amazing.... the way Ajay Jadeja dealt with the Jamnagar prince question. Such a humble personality and down to earth. Respect and love Ajay Bhai ❤
@partth313,Is this full show or it is cut from between
@pcaacharyaa,"Aare wo 96 ka clip lagana 😅
Next level trolling by AJ"
@nav-ql7tg,Loved your show. Wasim bhai aap kamaal ho. Ajay Jadeja is another intelligent guy in panel
@pelicancomet4427,"absolutely delighted to see 4 suave clean shaven men on a Pakistani TV Show!. The class, sophistication and non-pretention it offers is refreshing and exciting!"
@sandythakur39614,Full of fun and positivity and they are correct in this time of social media we have become less forgiving . Great work team .🎉
@CuriosityLearning-op8of,No analysis... No breakdown of the game.... Just pure Bakchodi.... I don't even think they watched the game fully... Watched some highlights may be
@animeshbajpai3838,True Sir Jadeja is here in the show...Vicky paaji 1996 ki yaad hai...yoker par shot kaise maarte hain Jadeja paaji se shuruwat ko gayi thi...
@Pradip-o6v,Sar Pujara kyon chale gaye aapka DP world chhodkar
@pswcricwiz,"Please call Ajay Jadeja - ""Jamsaheb"".
It is his title now."
@sahiljuneja7523,Legends comes together ❤
@HarvinderSingh-yz3ze,Fabulous show❤
@mzmzmm7879,Ajay...thoda kam baath karo. You are taking all the limelight. Please give Nikhil and waqar chance to talk
